wid,d,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,6.402291577894204e-5,1.020529327392578,0.3273208618164063,886.8389129638673,592.9718017578127,2547.4273420523505,5,148,5119.840745473522,BADS
wdaebe9a,6.853895838650094e-5,1.0,0.41315429687500005,1030.16357421875,901.0925292968751,1667.5493033652995,5,95,3357.8679911886015,BADS
w457a2a0,6.201267544598609e-5,0.708994140625,0.141363525390625,1534.8022460937502,575.0183105468753,1691.5768234729771,5,100,3406.179497875895,BADS
wc71252e,5.286211452445328e-5,0.886038818359375,0.31913330078124996,2344.1650390625,953.497314453125,1699.459018525224,5,95,3421.687421508451,BADS
w8250429,5.598180214514553e-5,1.2112451171874998,0.6596875000000001,1074.8046875,504.1748046875003,1697.047504346414,5,97,3416.968563585345,BADS
w5dd5645,1.0011249413998748e-10,1.1273754882812497,0.30874023437500003,1249.4873046875,1126.239013671875,1664.2740647297815,5,89,3350.9913113082234,BADS
wa64273f,4.740031742312117e-5,0.859210205078125,0.527236328125,1203.875732421875,1120.416259765625,1725.1752962789105,5,94,3473.067066469171,BADS
w578a7cb,5.7930721243863416e-5,0.9042720031738282,0.4100877380371094,413.67950439453136,769.1101074218752,1738.4337866455105,5,98,3499.792410684374,BADS
wb651fe0,6.208243607191264e-5,0.863681640625,0.36916503906250003,1594.9707031250002,1016.5771484374999,1703.4877078666839,5,96,3429.7971566907067,BADS
wcb87506,7.009759614937352e-5,0.747666015625,0.3000390625,500.2929687500002,500.2929687500002,1666.7471832141237,5,100,3356.520217358188,BADS
w11ae0c3,7.009759614937352e-5,0.995166015625,0.7950390625,500.2929687500002,500.2929687500002,1751.0439920397548,5,100,3525.11383500945,BADS
w0c70a81,3.7516192015446394e-5,1.3572314453124998,0.39333496093750003,11.181640624999996,779.7851562500002,1698.2003554398864,5,95,3419.1700953377754,BADS
wbcb6e6a,2.7384196342643638e-5,0.8931689453125,0.23961425781250006,1265.0146484375002,698.2666015625002,1587.4294654664604,5,92,3197.467873818166,BADS
wdf61453,6.561703489261162e-5,0.995166015625,0.306806640625,378.7429809570312,500.05035400390665,1624.0527274676856,5,95,3270.874839393374,BADS
wa3a9848,4.362852271691129e-5,1.1363787841796875,0.6601406860351563,879.2572021484376,1139.5828247070312,1624.593944739685,5,87,3271.517430072643,BADS
wf63b737,9.646616199112019e-5,1.049669189453125,0.473458251953125,1280.5419921875,649.7436523437503,1347.0867897739058,5,80,2716.083712721181,BADS
w4ff13f3,5.9085970730558817e-5,1.0729931640625001,0.4146044921875,795.3124999999999,364.4287109375003,1735.0686694881697,5,100,3493.16318990628,BADS
w313d7aa,5.376117474555827e-5,0.838544921875,0.45811035156249996,748.7304687500001,566.2841796875005,2524.7129067827177,5,146,5074.343846673977,BADS
w0e2f500,5.54805330412901e-5,0.8044653320312499,0.514788818359375,765.2282714843752,641.9799804687502,1578.8402143079725,5,87,3180.009969209218,BADS
waedfc9c,5.5891397746875784e-5,0.8565892791748047,0.3989695739746094,514.4252777099612,659.8121643066409,1719.0846015635027,5,100,3461.195054056946,BADS
w96b09fe,8.976871324473154e-5,0.760234375,0.38173339843750004,1396.9970703125002,581.8115234375001,1666.8206009275698,5,95,3356.410586313142,BADS
w9ff051d,5.479860858289286e-5,1.3084082031249997,0.293875732421875,938.9404296875,725.4394531250002,1736.1357325311042,5,99,3495.2470643128813,BADS
wdcfc216,5.168671205062891e-5,0.8616876220703125,0.31118743896484374,975.3326416015625,563.3728027343751,1691.2138998151943,5,100,3405.453650560329,BADS
w4a3c9b0,6.264335366568851e-5,1.2918518066406248,0.325538330078125,1244.6350097656252,868.096923828125,2281.8894674198755,5,131,4588.154921455756,BADS
wde62b3d,5.704605101053201e-5,1.0146228027343747,0.4202239990234375,294.55566406250006,543.2357788085941,1647.510871150247,5,95,3317.791126758497,BADS
w5284fa9,8.269523177301081e-5,0.572554931640625,0.32783447265625,953.9825439453126,892.1157836914066,1631.414405228071,5,95,3285.5981949141446,BADS
w18b16aa,3.995420558949887e-5,0.7027099609374999,0.436357421875,674.9755859375003,706.0302734375005,2558.958740914325,5,148,5142.903543197471,BADS
w430272a,9.12954678950926e-5,0.90791259765625,0.28070312500000005,739.0258789062499,709.9121093749999,1580.84888092955,5,95,3184.4671463171026,BADS
w2121301,6.159575476808296e-5,0.8109912109375,0.592978515625,659.4482421875,712.8234863281252,2568.851517143465,5,149,5162.722765816658,BADS
wb14ab17,4.216965034285826e-5,0.7425903320312499,0.20396362304687501,693.4143066406255,987.4633789062505,1613.1380471867706,5,94,3248.992568284891,BADS
wc59a729,7.128979137008946e-5,1.0082177734374997,0.514788818359375,1122.357177734375,636.1572265625001,1750.6947843677767,5,100,3524.415419665494,BADS
wcb4623a,3.326386092717058e-5,1.0462249755859374,0.43759613037109374,735.1440429687505,1719.1894531250002,1709.6483662280766,5,95,3442.066116914156,BADS
w672a25c,1.3425475843971756e-9,0.837215576171875,0.30342285156250004,1094.2138671875002,1442.6086425781252,1829.4378321802683,5,98,3681.8005017538894,BADS
wf36c682,6.0889989398161245e-5,1.0218209075927733,0.33220016479492187,236.81335449218764,569.5594787597661,1578.899170725668,5,94,3180.514815362686,BADS
w5c58b96,7.440155822259183e-5,1.056195068359375,0.489410400390625,2464.501953125,705.0598144531251,1565.8140334892744,5,87,3153.957607571822,BADS
w397496b,7.406770808276955e-5,0.635880126953125,0.39212646484375,1134.0026855468752,673.0346679687503,2600.420962012302,5,149,5225.861655554331,BADS
w9376389,7.128979137008946e-5,1.3411584472656246,0.621378173828125,1142.7368164062502,1064.129638671875,1680.6870993709738,5,93,3384.037196207714,BADS
w158db17,6.754922354601e-5,0.88470947265625,0.29349807739257816,652.3517608642579,402.0339965820317,1554.7574122955857,5,95,3132.284209049174,BADS
w9864444,6.731703824145e-5,0.6621044921875,0.18027709960937502,624.5117187499999,504.1748046875003,2411.1857370000935,5,147,4847.32363693408,BADS
w05e5ad5,5.412506582058747e-5,0.993353271484375,0.22619995117187502,564.3432617187503,1034.0454101562502,1648.8376251161287,5,93,3320.3382476980237,BADS
w6d23692,4.250284181828017e-5,0.913955078125,0.389105224609375,456.62231445312517,653.6254882812499,2521.0883083406748,5,146,5067.094649789891,BADS
we289943,7.009759614937352e-5,0.995166015625,0.3000390625,500.2929687500002,500.2929687500002,2459.7106411056734,5,148,4944.407343580167,BADS
w6f95ee3,9.581760526682431e-5,1.09788818359375,0.47623779296875,994.2565917968752,904.9743652343751,2599.8681957744147,5,148,5224.72245291765,BADS
w6eb2a0a,3.278121151393459e-5,1.72703125,0.13520019531250002,352.78320312500006,1090.3320312500002,1547.2966794914769,5,85,3116.8066152654055,BADS
w2424d8d,5.461408821732284e-5,1.0251367187499998,0.299918212890625,411.0107421875001,507.08618164062506,1711.684635281815,5,99,3446.344869814303,BADS
